,race_location,gpxfile
0,Sale Sizzler 5K Series,Sale_Sizzler_5k_2_14_50_1st_Win_a_Sizzler_ticked_off_the_bucket_list_.gpx
1,Brooks Serpentine Last Friday 5K,Brooks_Serpentine_Last_Friday_5K.gpx
2,Wroxham 5K Series,Wroxham_5k_Race_1_First_race_back_after_injury_.gpx
3,John Carr 5K Series,John_Carr_5K_2016_Race_3.gpx
4,Peterborough Grand Prix 5K,peterborough_5k_grand_prix_stamford.gpx
5,Wavertree Mystery 5K Series,Mystery_5k_4_5_Unmitigated_shocker_.gpx
6,Lakeside 5K Series,Lakeside_5km_16_49.gpx
7,Self Transcendence 5K,Self_Transcendence_5k_Race_PB_first_ever_sub_18_on_the_chip_time_.gpx
8,Yeovilton Summer 5K Series,Yeovilton_5k_.gpx
9,Harbour Club Last Friday of the Month 5K,Last_Friday_of_the_Month_5K_16_55.gpx
10,Harwich 5K Series,Harwich_5K.gpx
11,Standard Chartered Great City 5K,Standard_Chartered_5k.gpx
12,Bournemouth Marathon Festival 5K,Bournemouth_Supernova_5k.gpx
13,Armada Athletics Network 5K Series,Armada_5k_run_with_Ami_and_Matthew.gpx
14,Aztec West Fast 5K,Aztec_West_Fast_5K_40s_PB.gpx
15,Edinburgh Marathon Festival 5K,EMF_5k.gpx
16,Maldon Summer Handicap 5K Series,Maldon_5k_summer_series_race_2.gpx
17,Great Edinburgh Winter Run 5K,Edinburgh_Winter_Run_5k_official_time_19_19_47th_.gpx
18,Sexarathon Phoenix Flyer 5K,Sexarathon_Phoenix_Flyer_Race_2.gpx
19,Avenham Park 5K,Avenham_5k.gpx
20,Peterborough Grand Prix Werrington 5K,Pboro_5k_gp_series_5_werrington.gpx
21,Ali Brownlee Riverside Run 5K,Boro_5K.gpx
22,Rock 'n' Roll Liverpool 5K,liverpool5k.gpx
23,Bexhill Runners 5K Series,Bexhill_5k_Race_Series_19_19_PB.gpx
24,Lincoln Wellington 5K Series,lincwel.gpx
25,Buxton Pavilion Gardens 5K,Buxton_Pavilion_Gardens_5K_23_36.gpx
26,Merthyr Mawr Lane 5K,Merthyr_Mawr_5K_BCRL_2.gpx
27,Dereham 5K,Dereham_5k.gpx
28,Durham City 5K,Durham_City_Run_5k.gpx
29,Quayside Business Forum 5K,Gateshead_5K_in_memory_of_my_Grandma_.gpx
30,Middlesbrough Riverside 5K,Middlesbrough_5k.gpx
31,Northern Frontrunners LGBT 5K,LGBT_5k.gpx
32,Run Exe Summer 5K Series,exe5k.gpx
33,Todmorden Park 5K Series,Tod_Park_5k.gpx
