,race_location,gpxfile
0,Brass Monkey Half Marathon,Brass_Monkey_1st_and_a_9_minute_pb_69_42.gpx
1,North Lincolnshire Half Marathon,North_Lincs_Half_Marathon_.gpx
2,Southport Half Marathon,Southport_Half_Marathon_PB_13th_Overall.gpx
3,Cardiff Half Marathon,Cardiff_half.gpx
4,Rock 'n' Roll Liverpool Half Marathon,Rock_n_Roll_Liverpool_Half_Marathon.gpx
5,Stroud Half Marathon,Stroud_Half_Marathon_New_PB_and_8th_place_.gpx
6,Four Villages Half Marathon,Four_villages_half_marathon_Truly_the_worst_conditions_I_have_ever_raced_in_Loved_it_though_1_19_04_20th_.gpx
7,Leicester Half Marathon,Leicester_Half_Marathon.gpx
8,Surrey Half Marathon,Surrey_Half_Marathon.gpx
9,Edinburgh Marathon Festival Half Marathon,edin_half.gpx
10,Bournemouth Marathon Festival Half Marathon,Bournemouth_half_sound_the_PB_alarm_over_a_minute_off_.gpx
11,Chester Half Marathon,Chester_Half_Marathon.gpx
12,Worksop Halloween Half Marathon,Worksop_Half_Marathon_2017.gpx
13,Bath Half Marathon,Bath_half_71_36.gpx
14,Sunderland City Half Marathon,Sunderland_Half_Marathon_3rd_place_Tough_day_along_the_windy_coast_.gpx
15,Inverness Half Marathon,Inverness_Half_Marathon_2017_PB_.gpx
16,Alloa Half Marathon,Alloa_half_marathon.gpx
17,Milton Keynes Half Marathon,Milton_Keynes_half_marathon_18th_but_a_poor_time_need_to_train_harder.gpx
18,Hastings Half Marathon,Hastings_half_marathon_.gpx
19,Milton Keynes Winter Half Marathon,Milton_Keynes_Winter_Half_Marathon_2014.gpx
20,Manchester Half Marathon,Manchester_Half_6th_in_67_28.gpx
21,Larne Half Marathon,Larne_Half_Marathon_.gpx
22,Colchester Half Marathon,Colchester_Half_Marathon.gpx
23,Stafford Half Marathon,Stafford_Half_Marathon_1_22_51_PB_.gpx
24,Keyworth Turkey Trot Half Marathon,Keyworth_Turkey_Trot_.gpx
25,Retford Half Marathon,Retford_Half_Marathon.gpx
26,Perkins Great Eastern Half Marathon,Perkins_Great_Eastern_Half_Marathon_1_39_34_.gpx
27,Anglesey Island Half Marathon,Anglesey_Half_Marathon.gpx
28,Wilmslow Half Marathon,Wilmslow_half_marathon.gpx
29,Cambridge Half Marathon,Cambridge_Half_Marathon_Sub_70_69_55_.gpx
30,River Thames Half Marathon,River_Thames_Half_Marathon.gpx
31,Coventry Half Marathon,Coventry_Half_Marathon.gpx
32,Plusnet Leeds Half Marathon,plusnetleeds.gpx
33,BHF Warwick Half Marathon,Warwick_Half_Marathon.gpx
34,Great West Half Marathon,Great_west_run_.gpx
35,Leeds Half Marathon,Leeds_Half_Marathon_PB_01_30_07_.gpx
36,Great Cumbrian Run Half Marathon,Great_Cumbrian_Run_2017.gpx
37,Tewkesbury Half Marathon,Tewkesbury_Half_Marathon_2017_MP_ish.gpx
38,Lincoln Half Marathon,Lincoln_Half_don_t_make_a_half_marathon_your_second_run_in_3weeks_ouch_.gpx
39,Bank of Scotland Great Scottish Half Marathon,Bank_of_Scotland_Great_Scottish_Half_Marathon.gpx
40,Bosworth Half Marathon,c.gpx
41,Oxford Half Marathon,Oxford_Half_Marathon_1_22_05.gpx
42,Basingstoke Half Marathon,Basingstoke_Half_Marathon.gpx
43,Windmill Half Marathon,Windmill_Half_Marathon_1_30_Pacer_Chip_time_1_29_17.gpx
44,Eastbourne Half Marathon,Eastbourne_Half_Marathon.gpx
